pipeline,pdf,Programmatic_NED,Programmatic_ReadingOrder,LLM_Text_Score,LLM_Table_Score,LLM_ReadingOrder_Score,LLM_Reasoning
glmocr,purchase_orders_11053.pdf,0.4074,1.0,0.9,0.8,0.9,"The extracted text is mostly accurate, but some minor formatting differences and the addition of 'Page 1' and 'Purchase Orders' affect the score. The table structure is mostly preserved, but the format is changed from markdown tables to a custom format. The reading order is generally preserved, but the introduction of 'Page 1' and 'Purchase Orders' slightly alters the layout."
glmocr,79.pdf,0.476,0.9789,0.95,0.0,0.8,"The extracted text is mostly accurate, but some formatting and table structures are lost. The reading order is generally preserved, but some sections are not clearly separated."
glmocr,49.pdf,0.4805,0.9683,0.9,0.6,0.8,"The extracted text content is mostly accurate, but some minor formatting differences and the addition of 'Page 1' and 'Indian Overseas Bank BANK STATEMENT' at the beginning affect the score. The table structure is partially preserved but lacks proper table formatting and some data seems to be missing or not properly aligned. The reading order is generally preserved, but the introduction of 'Page 1' and the bank statement title disrupts the original flow slightly."
glmocr,X51008164997.pdf,0.4996,0.9935,0.95,0.8,0.9,"The extracted text is mostly accurate, but minor formatting differences and the absence of some details like the dashes in the GST Summary and the exact formatting of the table headers and footers result in a text accuracy score of 0.95. The table structure score is 0.8 due to the simplified table borders and minor discrepancies in table formatting. The reading order score is 0.9, as the overall layout and logical flow of the document are preserved, despite some minor adjustments in formatting."
glmocr,90.pdf,0.531,0.7691,0.7,1.0,0.8,"The extracted text has some minor errors in spelling and formatting, but overall the content is preserved. There are no tables in the original document, so the table structure score is 1.0. The reading order is mostly preserved, but some sections are slightly rearranged or have minor formatting issues."
glmocr,43.pdf,0.4386,0.9473,0.9,0.8,0.7,"The extracted text is mostly accurate, but some minor formatting issues and missing headers exist. Tables are generally well-structured, but some minor alignment issues are present. The reading order is mostly preserved, but some sections appear out of order or lack clear headings."
glmocr,94.pdf,0.2739,0.9554,0.9,0.0,0.8,"The extracted text is mostly accurate, but some formatting and table structures are lost or altered. The reading order is generally preserved, but some sections are rearranged or lack clear separation."
glmocr,batch2-0996.pdf,0.4602,0.963,0.95,0.9,0.8,"The extracted text is mostly accurate, but minor formatting differences and a few character discrepancies exist, such as 'IBAN' number and missing '**' for emphasis. The table structure is well-preserved but lacks Markdown formatting. The reading order is generally logical, but section headers like '## Seller' and '## Client' are missing, and 'Tax Id' for the client is misplaced."
glmocr,27.pdf,0.3702,0.9608,0.9,0.2,0.6,"The extracted text is mostly accurate, but table structures are not well preserved, and the reading order is partially disrupted due to the loss of markdown headers and table formats."
glmocr,81.pdf,0.3625,0.9124,0.8,0.2,0.6,"The extracted text content is mostly accurate, but some formatting and structural information is lost. The tables are not well-structured, with missing headers and incorrect formatting. The reading order is generally preserved, but some sections are not clearly separated or labeled."
glmocr,batch1-0273.pdf,0.5717,0.9556,0.95,0.9,0.8,"The extracted text is mostly accurate, but minor formatting differences and missing markdown headers exist. Tables are well-structured but lack markdown formatting. The reading order is generally preserved, but some sections like 'Seller' and 'Client' have minor layout differences."
